participant,group,eng_variety,spn_variety,have_ln,aoa,check_pass,check_fails,item,speaker_variety,condition,sentence_type,sentence,correct_response,response,is_correct,rt_raw,trial_n,sentence_dur,rt_adj
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_declarative-narrow-focus_Manuela-vende-el-carro.wav,argentine,match,declarative-narrow-focus,Manuela vende el carro,0,0,1,1.687,42,1.5,0.18700000000000006
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-total-yn_Mariano-habla-del-tiempo.wav,puertorican,match,interrogative-total-yn,Mariano habla del tiempo,1,1,1,2.54,43,1.27,1.27
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien.wav,puertorican,mismatch,interrogative-partial-wh,Por que desayuna muy bien,1,1,1,1.904,44,1.26,0.6439999999999999
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-partial-wh_Por-que-venia-del-lago.wav,peruvian,mismatch,interrogative-partial-wh,Por que venia del lago,1,1,1,1.5,45,1.43,0.07000000000000006
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-total-yn_Marta-abre-el-regalo.wav,argentine,match,interrogative-total-yn,Marta abre el regalo,1,0,0,1.258,46,1.34,-0.08200000000000007
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna.wav,peruvian,mismatch,declarative-narrow-focus,El hombre mira la luna,0,0,1,1.645,47,1.43,0.21500000000000008
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-total-yn_Maria-bebe-el-vino.wav,chilean,match,interrogative-total-yn,Maria bebe el vino,1,0,0,2.45,48,1.2,1.2500000000000002
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,cuban,match,declarative-narrow-focus,Daniel iba a Bolivia,0,0,1,1.957,49,1.29,0.667
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_declarative-broad-focus_David-leia-el-libro.wav,cuban,match,declarative-broad-focus,David leia el libro,0,0,1,2.912,50,1.41,1.502
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien.wav,peruvian,mismatch,declarative-narrow-focus,El bebe comia muy bien,0,0,1,2.215,51,1.67,0.5449999999999999
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_declarative-narrow-focus_David-leia-el-libro.wav,puertorican,match,declarative-narrow-focus,David leia el libro,0,0,1,1.438,52,1.05,0.3879999999999999
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-total-yn_Emilio-ama-la-marcha.wav,chilean,match,interrogative-total-yn,Emilio ama la marcha,1,1,1,1.569,53,1.33,0.23899999999999988
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-total-yn_El-nino-oye-el-rio.wav,cuban,mismatch,interrogative-total-yn,El nino oye el rio,1,1,1,1.6,54,1.06,0.54
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_declarative-narrow-focus_Ana-lleva-el-abrigo.wav,mexican,match,declarative-narrow-focus,Ana lleva el abrigo,0,0,1,1.668,55,1.06,0.6079999999999999
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia.wav,chilean,mismatch,declarative-narrow-focus,Mi tia odia la lluvia,0,0,1,1.942,56,1.44,0.502
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna.wav,chilean,mismatch,interrogative-partial-wh,Cuando miraba la luna,1,1,1,1.52,57,1.25,0.27
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-total-yn_David-leia-el-libro.wav,argentine,match,interrogative-total-yn,David leia el libro,1,1,1,1.535,58,1.32,0.21499999999999986
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-partial-wh_Cuando-vendia-el-carro.wav,argentine,match,interrogative-partial-wh,Cuando vendia el carro,1,1,1,1.37,59,1.11,0.26
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_declarative-broad-focus_Maria-bebe-el-vino.wav,peruvian,match,declarative-broad-focus,Maria bebe el vino,0,0,1,1.551,60,1.36,0.19099999999999984
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_declarative-broad-focus_Mariano-habla-del-tiempo.wav,mexican,match,declarative-broad-focus,Mariano habla del tiempo,0,0,1,1.868,61,1.22,0.6480000000000001
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago.wav,mexican,mismatch,interrogative-total-yn,Mi novio viene del lago,1,1,1,1.741,62,1.29,0.45100000000000007
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-partial-wh_Por-que-ama-la-navidad.wav,puertorican,match,interrogative-partial-wh,Por que ama la navidad,1,1,1,1.934,63,1.17,0.764
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_declarative-broad-focus_El-nino-oye-el-rio.wav,andalusian,mismatch,declarative-broad-focus,El nino oye el rio,0,0,1,2.097,0,1.33,0.7669999999999999
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_interrogative-total-yn_Ana-lleva-el-abrigo.wav,castilian,match,interrogative-total-yn,Ana lleva el abrigo,1,1,1,1.268,1,1.27,-0.0020000000000000018
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta.wav,cuban,mismatch,interrogative-partial-wh,Cuando comia la fruta,1,1,1,1.186,2,1.03,0.15599999999999992
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia.wav,mexican,mismatch,declarative-narrow-focus,Mi tia odia la lluvia,0,0,1,1.721,3,1.21,0.5110000000000001
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago.wav,cuban,mismatch,declarative-narrow-focus,Mi novio viene del lago,0,0,1,1.567,4,1.32,0.2469999999999999
